Jesionova mieszkanie B2M3;Kraków , Zwierzyniec;4 pokoje;Zapytaj o cenę;130,60 m²;https://www.otodom.pl/oferta/jesionova-mieszkanie-b2m3-ID42gIR.html#51e2ab8c8f;2020-02-08 18:57:54.277478
Komfortowe mieszkanie z widokiem na Wisłę;Kraków , Grzegórzki;2 pokoje;1 035 000 zł;59 m²;17 542 zł/m²;https://www.otodom.pl/oferta/komfortowe-mieszkanie-z-widokiem-na-wisle-ID43ooq.html#51e2ab8c8f;2020-02-08 18:57:54.278479
2-pokojowe mieszkanie na zamkniętym osiedlu;Kraków , Prądnik Biały;2 pokoje;425 000 zł;48 m²;8 854 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-na-zamknietym-osiedlu-ID4463x.html#51e2ab8c8f;2020-02-08 18:57:54.278479
Kraków Pr. Czerwony ul. Łepkowskiego-3pok. 51,6m2;Kraków , Prądnik Czerwony;3 pokoje;430 000 zł;51,66 m²;8 324 zł/m²;https://www.otodom.pl/oferta/krakow-pr-czerwony-ul-lepkowskiego-3pok-51-6m2-ID44AKU.html#51e2ab8c8f;2020-02-08 18:57:54.279472
2 pokojowe mieszkanie, Podgórze Duchackie;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;500 000 zł;49,07 m²;10 190 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-podgorze-duchackie-ID44AKh.html#51e2ab8c8f;2020-02-08 18:57:54.279472
3 pokojowe mieszkanie, Podgórze;Kraków , Podgórze;3 pokoje;395 000 zł;63 m²;6 270 zł/m²;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-podgorze-ID44AKi.html#51e2ab8c8f;2020-02-08 18:57:54.280470
2 pokojowe mieszkanie, Podgórze;Kraków , Podgórze, Stare Podgórze;2 pokoje;425 000 zł;35 m²;12 143 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-podgorze-ID44AKg.html#51e2ab8c8f;2020-02-08 18:57:54.280470
Na sprzedaż 2 pok. mieszkanie Apartamenty Wielicka;Kraków , Bieżanów-Prokocim;2 pokoje;480 000 zł;48,70 m²;9 856 zł/m²;https://www.otodom.pl/oferta/na-sprzedaz-2-pok-mieszkanie-apartamenty-wielicka-ID44AKb.html#51e2ab8c8f;2020-02-08 18:57:54.280470
3-pokojowe STARE Dębniki, Barska 10, WŁAŚCICIEL;Kraków , Dębniki;3 pokoje;459 000 zł;52 m²;8 827 zł/m²;https://www.otodom.pl/oferta/3-pokojowe-stare-debniki-barska-10-wlasciciel-ID42UtA.html#51e2ab8c8f;2020-02-08 18:57:54.281466
2 pokoje na Salwatorze. winda;Kraków , Zwierzyniec, Salwator;2 pokoje;599 000 zł;47,50 m²;12 611 zł/m²;https://www.otodom.pl/oferta/2-pokoje-na-salwatorze-winda-ID44AJB.html#51e2ab8c8f;2020-02-08 18:57:54.282406
Mieszkanie 2 Pokoje Mpec Stare Podgórze 53m2;Kraków , Podgórze;2 pokoje;550 000 zł;53 m²;10 377 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pokoje-mpec-stare-podgorze-53m2-ID44AIV.html#51e2ab8c8f;2020-02-08 18:57:54.283466
2 pok /48 M 2/ balkon/do wejścia/ Kurdwanów /ul. H;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;429 000 zł;48,20 m²;8 900 zł/m²;https://www.otodom.pl/oferta/2-pok-48-m-2-balkon-do-wejscia-kurdwanow-ul-h-ID44AHI.html#51e2ab8c8f;2020-02-08 18:57:54.283466
