96 m²;Wola Justowska wyjątkowy apartament;Kraków , Zwierzyniec, Wola Justowska;3 pokoje;1 190 000 zł;96 m²;12 396 zł/m²;https://www.otodom.pl/oferta/wola-justowska-wyjatkowy-apartament-ID41OJ0.html#e7b1ebfb0e;2020-02-23 10:10:39.362480;0;3;2011
78,21 m²;Wygodny apartament, wysoki standard, parking;Kraków , Śródmieście;4 pokoje;990 000 zł;78,21 m²;12 658 zł/m²;https://www.otodom.pl/oferta/wygodny-apartament-wysoki-standard-parking-ID44Ful.html#e7b1ebfb0e;2020-02-23 10:10:40.775975;1;5;2009
26,91 m²;Okazja - świetna oferta inwestycyjna;Kraków , Dębniki, Ruczaj;1 pokój;255 000 zł;26,91 m²;9 476 zł/m²;https://www.otodom.pl/oferta/okazja-swietna-oferta-inwestycyjna-ID44IPK.html#e7b1ebfb0e;2020-02-23 10:10:42.156195;2;7;2021
26,32 m²;Kawalerka na Ruczaju;Kraków , Dębniki, Ruczaj;1 pokój;249 000 zł;26,32 m²;9 460 zł/m²;https://www.otodom.pl/oferta/kawalerka-na-ruczaju-ID44IPM.html#e7b1ebfb0e;2020-02-23 10:10:43.149169;4;7;2021
58,88 m²;3-pokojowe mieszkanie przy pl. Bohaterów Getta;Kraków , Podgórze;3 pokoje;662 704 zł;58,88 m²;11 255 zł/m²;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-przy-pl-bohaterow-getta-ID42H3N.html#e7b1ebfb0e;2020-02-23 10:10:44.698971;3;4;2019
55 m²;3 pok, 55m, nowoczesne 2014, Prądnik Biały, Kraków;Kraków , Podgórze Duchackie;3 pokoje;599 000 zł;55 m²;10 891 zł/m²;https://www.otodom.pl/oferta/3-pok-55m-nowoczesne-2014-pradnik-bialy-krakow-ID44B9x.html#e7b1ebfb0e;2020-02-23 10:10:45.723520;7;8;2014
49,08 m²;Mieszkanie na sprzedaż Kraków - Podgórze 50 m2;Kraków , Bieżanów-Prokocim;2 pokoje;437 000 zł;49,08 m²;8 904 zł/m²;https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-krakow-podgorze-50-m2-ID44Oyl.html#e7b1ebfb0e;2020-02-23 10:10:46.991078;0;5;2000
29 m²;Kawalerka - wysoki standard - Krowodrza;Kraków , Bronowice;1 pokój;365 000 zł;29 m²;12 586 zł/m²;https://www.otodom.pl/oferta/kawalerka-wysoki-standard-krowodrza-ID42oB1.html#e7b1ebfb0e;2020-02-23 10:10:48.449656;;;
57,36 m²;ul. Czarnogórska 18, 57 m2 dwa balkony + garaż;Kraków , Podgórze Duchackie, Wola Duchacka;3 pokoje;545 000 zł;57,36 m²;9 501 zł/m²;https://www.otodom.pl/oferta/ul-czarnogorska-18-57-m2-dwa-balkony-garaz-ID40HtC.html#e7b1ebfb0e;2020-02-23 10:10:49.742065;1;3;2009
42 m²;2 pokoje, Widok na Wisłę Riva Verona Madalińskiego;Kraków , Dębniki;2 pokoje;539 932 zł;42 m²;12 856 zł/m²;https://www.otodom.pl/oferta/2-pokoje-widok-na-wisle-riva-verona-madalinskiego-ID44MT7.html#e7b1ebfb0e;2020-02-23 10:10:50.978862;1;3;2019
45 m²;Mieszkanie do remontu 45m2, blisko TRAMWAJ;Kraków , Podgórze Duchackie;3 pokoje;380 000 zł;45 m²;8 444 zł/m²;https://www.otodom.pl/oferta/mieszkanie-do-remontu-45m2-blisko-tramwaj-ID44B75.html#e7b1ebfb0e;2020-02-23 10:10:51.881143;0;10;1985
70 m²;Mieszkanie 70m - BEZ POŚREDNIKÓW - ul. Torfowa;Kraków , Łagiewniki-Borek Fałęcki;3 pokoje;509 000 zł;70 m²;7 271 zł/m²;https://www.otodom.pl/oferta/mieszkanie-70m-bez-posrednikow-ul-torfowa-ID443s0.html#e7b1ebfb0e;2020-02-23 10:10:53.253267;;;
45,12 m²;PROMIENISTYCH 2 pokoje BEZ PCC 2% system 30/70;Kraków , Prądnik Czerwony;2 pokoje;422 000 zł;45,12 m²;9 353 zł/m²;https://www.otodom.pl/oferta/promienistych-2-pokoje-bez-pcc-2-system-30-70-ID44vIz.html#e7b1ebfb0e;2020-02-23 10:10:54.721963;2;5;2020
16,81 m²;Mieszkanie, 16,81 m², Kraków;Kraków , Stare Miasto;1 pokój;285 000 zł;16,81 m²;16 954 zł/m²;https://www.otodom.pl/oferta/mieszkanie-16-81-m-krakow-ID44Ovp.html#e7b1ebfb0e;2020-02-23 10:10:56.029092;0;5;1920
46,51 m²;Przytulne do wprowadzenia 51m Chełmońskiego;Kraków , Prądnik Biały;2 pokoje;439 000 zł;46,51 m²;9 439 zł/m²;https://www.otodom.pl/oferta/przytulne-do-wprowadzenia-51m-chelmonskiego-ID44dnl.html#e7b1ebfb0e;2020-02-23 10:10:57.541008;2;2;2008
71 m²;Mieszkanie 71 m2 ogródek Bronowice, BEZPOŚREDNIO;Kraków , Bronowice;4 pokoje;399 000 zł;71 m²;5 620 zł/m²;https://www.otodom.pl/oferta/mieszkanie-71-m2-ogrodek-bronowice-bezposrednio-ID44m2Y.html#e7b1ebfb0e;2020-02-23 10:10:58.302120;0;1;2020
58 m²;Mieszkanie Kraków 58m2 ODŚWIEŻONE +PARKING w cenie;Kraków , Podgórze Duchackie;2 pokoje;490 000 zł;58 m²;8 448 zł/m²;https://www.otodom.pl/oferta/mieszkanie-krakow-58m2-odswiezone-parking-w-cenie-ID446BC.html#e7b1ebfb0e;2020-02-23 10:10:59.194110;0;4;2007
29 m²;Komfortowa kawalerka z m. postojowym Krowodrza 29m;Kraków , Krowodrza;1 pokój;365 000 zł;29 m²;12 586 zł/m²;https://www.otodom.pl/oferta/komfortowa-kawalerka-z-m-postojowym-krowodrza-29m-ID44OwG.html#e7b1ebfb0e;2020-02-23 10:11:00.654330;1;1;2011
47,80 m²;3 osobne pokoje idealne na inwestycję - Krowodrza;Kraków , Krowodrza;3 pokoje;429 000 zł;47,80 m²;8 975 zł/m²;https://www.otodom.pl/oferta/3-osobne-pokoje-idealne-na-inwestycje-krowodrza-ID44Owi.html#e7b1ebfb0e;2020-02-23 10:11:02.155652;;;
51 m²;Apartament w Domu - parter 48m2 lub piętro 51m2;Kraków , małopolskie;5 pokoi;367 200 zł;51 m²;7 200 zł/m²;https://www.otodom.pl/oferta/apartament-w-domu-parter-48m2-lub-pietro-51m2-ID44Owd.html#e7b1ebfb0e;2020-02-23 10:11:03.093871;0;1;2020
40 m²;2 pokoje w Gotowym budynku;Kraków , Dębniki, Kliny-Zacisze;2 pokoje;289 600 zł;40 m²;7 240 zł/m²;https://www.otodom.pl/oferta/2-pokoje-w-gotowym-budynku-ID44OuI.html#e7b1ebfb0e;2020-02-23 10:11:03.980422;2;3;2020
